Country,2014
Armenia,72.3
Belize,60.5
Burkina Faso,29.4
Comoros,31
Democratic Republic of the Congo,12.3
Dominican Republic,44.6
Guinea-Bissau,37.4
Haiti,46.2
Madagascar,7.4
Mali,10.1
Mauritius,50.7
Namibia,72.1
Sierra Leone,9.6
Togo,31.2
Zambia,27.1
Total,
